#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations
3778,Icinga,2014-02-16 04:38:46 UTC,2014-02-16 04:46:15 UTC,Support Member,7 minutes,0
3779,Icinga,2014-02-16 06:59:26 UTC,2014-02-16 07:44:38 UTC,,about 1 hour,1
3780,Icinga,2014-02-16 07:03:25 UTC,2014-02-16 07:39:41 UTC,,36 minutes,1
3781,Icinga,2014-02-16 07:03:45 UTC,2014-02-16 07:43:13 UTC,,39 minutes,1
3782,Icinga,2014-02-16 07:54:43 UTC,2014-02-16 08:19:33 UTC,,25 minutes,1
3783,Icinga,2014-02-16 07:58:08 UTC,2014-02-16 08:12:26 UTC,,14 minutes,1
3784,Icinga,2014-02-16 07:58:13 UTC,2014-02-16 08:28:06 UTC,,30 minutes,1
3785,Icinga,2014-02-16 07:58:54 UTC,2014-02-16 08:13:46 UTC,,15 minutes,1
3786,Icinga,2014-02-16 07:59:34 UTC,2014-02-16 08:28:46 UTC,,29 minutes,1
3787,Icinga,2014-02-16 07:59:35 UTC,2014-02-16 08:28:46 UTC,,29 minutes,1
3788,Icinga,2014-02-16 07:59:45 UTC,2014-02-16 08:29:34 UTC,,30 minutes,1
3789,Icinga,2014-02-16 07:59:54 UTC,2014-02-16 08:16:55 UTC,,17 minutes,1
3790,Icinga,2014-02-16 08:00:34 UTC,2014-02-16 08:29:34 UTC,,29 minutes,1
3791,Icinga,2014-02-16 10:13:07 UTC,2014-02-16 10:18:54 UTC,Support Member,6 minutes,0
3792,Icinga,2014-02-16 11:28:50 UTC,2014-02-16 11:35:00 UTC,Support Member,6 minutes,0
3793,Icinga,2014-02-16 11:31:39 UTC,2014-02-16 11:35:06 UTC,Support Member,3 minutes,0
3794,Icinga,2014-02-16 12:58:26 UTC,2014-02-16 13:07:11 UTC,Support Member,9 minutes,0
3795,Icinga,2014-02-16 13:01:14 UTC,2014-02-16 13:07:14 UTC,,6 minutes,0
3796,Icinga,2014-02-16 17:27:50 UTC,2014-02-16 18:12:26 UTC,,about 1 hour,1
